x_value,y_value,z_value
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,50
0,0,100
0,0,150
0,0,200
0,0,200
0,0,200
0,0,200
0,0,200
0,0,200
0,0,200
0,0,200
0,0,200
0,-50,200
0,-100,200
0,-150,200
0,-200,200
0,-250,200
0,-300,200
0,-350,200
0,-400,200
0,-450,200
0,-500,200
0,-550,200
0,-600,200
0,-650,200
0,-700,200
0,-750,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
0,-800,200
-50,-800,200
-100,-800,200
